  SEDIMENT-YIELD ESTIMATION - SYPOME3

  * Version 3
  * SY equation based on the principle of maximum entropy
  * Program can only compute up to 1500 events
                        
  Universidade Federal do Ceara
  University of Birmingham
  Jose Carlos de Araujo, 2004
  Technische Unibversitat Berlin
  Pedro Alencar, 2019

 --------------------------------------------------------------
 Title: Canabrava           
 --------------------------------------------------------------
 Input file .....................................               defaut
 Output file ....................................               defaut
 Number of precipitation gauges .................    1
 Number of cells ................................    1
 Number of events ...............................  960
 ------------------------------------------------------------
 Precipitation gauge number .....................    1
 ------------------------------------------------------------
    i     id    date      D(mm)     Dur(min)    R(MJ.mm/ha/h)      
  566    566  28474      49.00       3929.6      2536.2
  567    567  28475       3.41        598.0       438.0
  568    568  28531       0.88       2701.0      1126.7
  569    569  28532       3.41       2141.6       847.9
  570    570  28533       5.22        955.9       675.3
  571    571  28534      17.99       1824.3      1257.5
  572    572  28547       4.33        559.5       407.5
  573    573  28548       0.79        339.8       249.2
  574    574  28552       0.58        724.3       454.5
  575    575  28556       0.01        574.8       330.1
  576    576  28602       0.74       2183.3      1546.8
  577    577  28604      44.06        813.8       480.7
  578    578  28607       2.70       2150.5       784.5
  579    579  28610      24.57       3088.5      1827.4
  580    580  28611       0.58        401.4       295.1
  581    581  28613      10.79       1583.6      1054.2
  582    582  28614      21.74       2546.3      1608.5
  583    583  28870       2.06        589.4       313.5
  584    584  28925       0.13        390.2       281.0
  585    585  28926       5.22        202.4       107.9
  586    586  28930       0.02        764.2       366.1
  587    587  28974       3.01       2009.6       812.2
  588    588  28978       2.44        245.1       156.6
  589    589  29224      16.50       2903.0      2103.2
  590    590  29234       4.51       3890.6      1628.1
  591    591  29235       0.79        587.5       409.5
  592    592  29263       0.37         54.3        16.2
  593    593  29264       0.17        486.6       333.4
  594    594  29267      26.17       1569.5      1141.4
  595    595  29268      35.03       3067.3      2011.3
  596    596  29269      24.72        447.0       238.7
  597    597  29270       5.22        841.7       607.9
  598    598  29271       2.62        524.7       384.6
  599    599  29272      24.57       2768.3      1735.2
  600    600  29273      13.25       1777.9      1175.0
  601    601  29274       3.84       1437.4       814.2
  602    602  29276       0.01         42.6        20.7
  603    603  29278       0.79        949.9       528.3
  604    604  29280       1.36        348.1       251.8
  605    605  29281       0.40        195.1       133.9
  606    606  29282       0.66        930.7       511.6
  607    607  29284       2.26        520.7       382.0
  608    608  29285       0.58        198.4       134.1
  609    609  29295       2.26       1914.9       742.7
  610    610  29346       6.06         55.7        16.3
  611    611  29625       0.30        300.5       221.7
  612    612  29660      10.86       2415.2      1641.3
  613    613  29661      11.35       1524.5      1036.3
  614    614  29662      43.30        443.9       193.0
  615    615  29664       3.93        871.7       614.5
  616    616  29668       8.95       2070.1      1149.4
  617    617  29669      55.06       3264.7      2292.0
  618    618  29670      10.92       1070.3       777.2
  619    619  29671       0.03         50.6        25.0
  620    620  29673       0.01        377.0       262.4
  621    621  29675       0.15        135.2        88.0
  622    622  29676       0.02        133.7        91.1
  623    623  29677       0.14         56.5        27.0
  624    624  29678      23.82       4172.4      1972.2
  625    625  29679       0.89        356.2       261.3
  626    626  29978      23.22       1624.5      1173.8
  627    627  29980       0.01        260.2       193.2
  628    628  29981       0.40        557.1       379.3
  629    629  29982       5.96        649.2       472.8
  630    630  30000       0.72       1947.9      1038.0
  631    631  30009       3.84        827.2       588.5
  632    632  30056       1.39        930.9       606.7
  633    633  30059       2.26        239.4       153.2
  634    634  30060       3.84         77.2        27.3
  635    635  30316      17.48       1488.4      1066.8
  636    636  30353       0.35        226.7       161.4
  637    637  30394       0.25       1112.4       790.1
  638    638  30398       7.93        211.1       104.2
  639    639  30402       4.83       2432.5       960.5
  640    640  30403       0.06        479.5       318.7
  641    641  30743      33.17       2872.1      1907.5
  642    642  30747       3.84        655.9       479.5
  643    643  30749       0.13        194.2       138.4
  644    644  30751       0.40        507.8       355.6
  645    645  30756      15.49       2927.2      1953.4
  646    646  30757       3.84        770.6       555.0
  647    647  30758       0.79       1342.3       565.0
  648    648  30759       0.05        363.5       261.3
  649    649  30767       1.30        811.3       525.0
  650    650  30770      15.24        974.0       706.4
  651    651  30776       0.64       2026.1      1449.9
  652    652  30778       0.01        219.9       163.3
  653    653  30779       0.79       1338.2       564.9
  654    654  30783       0.40        197.6       136.1
  655    655  30788      22.04       1297.3       888.5
  656    656  30789       6.84        502.2       349.5
  657    657  30791      29.35        830.1       540.9
  658    658  30792       2.37        477.6       349.5
  659    659  30793       3.41        777.6       555.6
  660    660  30795       4.01       4325.5       826.9
  661    661  31058      26.09       2259.9      1551.7
  662    662  31059       2.74       2470.6       781.3
  663    663  31062       0.45        465.7       334.2
  664    664  31066       5.76       1216.1       808.9
  665    665  31067       1.92       1465.2       694.6
  666    666  31068      39.96       2643.7      1858.8
  667    667  31069       6.37       1003.1       712.6
  668    668  31081       0.04       1194.1       735.6
  669    669  31082      11.97        603.6       412.3
  670    670  31084       1.03        927.2       543.8
  671    671  31091      14.29       3174.4      2023.5
  672    672  31092       0.58        408.8       300.1
  673    673  31093       0.13        383.4       276.9
  674    674  31095      15.92       2185.2      1373.7
  675    675  31096      13.25       2012.8      1260.2
  676    676  31097      42.21       4550.4      2586.1
  677    677  31098       0.13        922.7       421.2
  678    678  31099       1.03        483.2       352.9
  679    679  31110       0.79       1040.6       542.7
  680    680  31122       2.61        733.8       522.1
  681    681  31125      17.29       2467.4      1489.5
  682    682  31126      16.60         84.6        21.4
  683    683  31127       0.58       1093.1       521.5
  684    684  31128       1.92        205.8       127.5
  685    685  31130      11.97        501.6       325.2
  686    686  31132       0.79        840.7       504.2
  687    687  31133       7.27       5921.3      1021.7
  688    688  31134       8.95        173.8        74.1
  689    689  31138       0.13        468.2       321.5
  690    690  31140      56.21       1370.6       818.7
  691    691  31145       2.26        462.1       338.1
  692    692  31147       0.05        184.1       132.5
  693    693  31149       0.79       1369.0       565.7
  694    694  31150       0.13        580.3       364.8
  695    695  31151       6.21       1842.8       997.9
  696    696  31153       0.01        938.0       355.6
  697    697  31162       2.61       1938.6      1207.4
  698    698  31165      33.97       2929.5      1941.5
  699    699  31167      13.25       1209.6       875.4
  700    700  31168       1.92       2082.9       704.7
  701    701  31169      11.97       1606.2      1082.2
  702    702  31170       0.13        925.0       421.4
  703    703  31204      20.20       8466.5      4504.5
  704    704  31407       0.13        872.3       417.8
  705    705  31427       0.17       2940.9       912.3
  706    706  31445       1.92        559.8       408.6
  707    707  31448      13.25        356.6       200.3
  708    708  31450       0.01        297.3       217.9
  709    709  31469       0.34       1414.6       863.8
  710    710  31470       0.40         54.8        24.0
  711    711  31474      18.70       3823.5      1741.7
  712    712  31476       0.13        160.4       109.8
  713    713  31477       0.08        233.8       172.3
  714    714  31478       0.14        500.8       336.8
  715    715  31479      31.57       4366.7      2261.1
  716    716  31481       0.01        260.5       193.4
  717    717  31483       0.25        310.8       229.9
  718    718  31485      12.29       2742.7      1812.3
  719    719  31488       1.03        759.4       493.6
  720    720  31492       2.11        821.4       596.1
  721    721  31493       8.95       1553.5      1008.0
  722    722  31497       5.31        172.2        83.8
  723    723  31499      15.24       1030.7       749.7
  724    724  31500      29.20       1368.0       989.0
  725    725  31501      17.29       1404.7      1014.4
  726    726  31502       6.89        931.5       673.1
  727    727  31505       0.66        425.0       311.6
  728    728  31507       0.64        671.3       440.0
  729    729  31510       8.49        405.3       259.1
  730    730  31518       6.37        695.4       507.7
  731    731  31523       0.13        624.8       377.7
  732    732  31527       5.81       2025.8      1359.6
  733    733  31529       0.13        131.0        84.8
  734    734  31532      62.11       5653.2      3283.0
  735    735  31533      18.06        840.3       589.5
  736    736  31538       0.13         75.6        40.7
  737    737  31566      36.20       2562.7      1861.3
  738    738  31688       0.05        297.8       129.8
  739    739  31740       4.08       1703.0      1168.8
  740    740  31741       0.58        314.1       230.4
  741    741  31748       0.46       2164.1      1520.8
  742    742  31777       0.84       2218.0      1570.8
  743    743  31786       2.95       2117.8      1538.2
  744    744  31787       3.84        430.5       304.9
  745    745  31820      27.64       1620.1      1178.0
  746    746  31839       2.09       1279.2       686.4
  747    747  31856      12.38       4386.7      2996.5
  748    748  31858       2.44        427.3       309.8
  749    749  31860       7.82       1206.8       837.4
  750    750  31863       0.05        585.1       349.8
  751    751  31866      45.30         88.7        13.9
  752    752  31867      11.97       2434.2      1325.3
  753    753  31868       6.89       1700.5       996.3
  754    754  31901       5.85        168.3        55.8
  755    755  32155       1.23       1413.7       941.5
  756    756  32192       0.04       1033.9       680.5
  757    757  32203      16.26        603.3       394.5
  758    758  32216       7.87       1711.9      1031.3
  759    759  32218      28.41       4979.2      2202.3
  760    760  32227       0.05         38.5        17.5
  761    761  32235       4.82       2844.0      1558.2
  762    762  32248       1.25       2990.2      1202.6
  763    763  32251       7.38        805.6       588.5
  764    764  32254       0.29        263.9       193.1
  765    765  32255      10.73       3096.2      1333.8
  766    766  32256       1.60        404.7       295.8
  767    767  32258       1.92        478.5       351.3
  768    768  32533       0.02       2593.6      1621.1
  769    769  32535       0.05        245.0       181.6
  770    770  32536       3.84       1723.9       857.5
  771    771  32551       0.01       2334.1      1517.3
  772    772  32586       0.72       3131.3      1092.2
  773    773  32588       0.25         81.3        43.2
  774    774  32589      19.41        996.8       714.7
  775    775  32592       0.68        777.5       478.4
  776    776  32593       1.45        594.7       426.7
  777    777  32596       1.60        255.4       171.9
  778    778  32600       0.58       2031.3      1024.1
  779    779  32602      11.97       1935.0      1206.2
  780    780  32603       0.25        671.0       407.2
  781    781  32605       0.01        124.2        84.2
  782    782  32606       0.48        408.7       299.5
  783    783  32607       2.62       1065.2       665.6
  784    784  32609       0.48       1520.5       511.6
  785    785  32611       0.01        141.1        98.6
  786    786  32626       4.75       1637.0      1147.8
  787    787  32628      59.45       7624.5      3478.3
  788    788  32631       0.48        453.9       328.1
  789    789  32632       0.01        256.6       190.6
  790    790  32633       0.01        704.7       346.9
  791    791  32640       0.01         73.1        42.8
  792    792  32658      10.62        121.8        29.8
  793    793  32659       0.52        411.2       301.4
  794    794  32865       0.04        538.9       393.8
  795    795  32868       3.84        909.0       632.8
  796    796  32869       0.40        566.6       383.5
  797    797  32874      25.33       1507.2      1096.8
  798    798  32879       7.27        599.0       428.6
  799    799  32935       5.38        790.6       548.0
  800    800  32936       3.17        269.6       172.4
  801    801  32937       1.48        309.1       218.6
  802    802  32966       8.72       1161.5       822.4
  803    803  32967       0.01         58.6        31.2
  804    804  32968      10.13       3378.8      1305.7
  805    805  32969       3.84        375.8       258.4
  806    806  32970       1.92        152.4        84.8
  807    807  32971       0.98         65.5        27.4
  808    808  32992       5.81       1474.5      1063.4
  809    809  32994       0.03        261.3       194.0
  810    810  33259       0.03       2197.2      1479.5
  811    811  33260       0.36        550.6       374.6
  812    812  33262      22.77       1799.8      1280.7
  813    813  33322       0.12       4090.0      1979.4
  814    814  33326      25.18       9016.7      1952.6
  815    815  33327      12.74        221.2        97.8
  816    816  33331       1.85        666.8       473.6
  817    817  33344       0.30       2201.2       967.9
  818    818  33348       4.55        739.3       538.5
  819    819  33359       7.38       3136.1      1136.0
  820    820  33364       6.42       1510.3       930.0
  821    821  33629      33.97       4822.6      2393.4
  822    822  33633      17.57        886.5       629.5
  823    823  33641       0.40        368.5       169.5
  824    824  33644       0.08        187.1       134.0
  825    825  33645       3.84        337.5       225.8
  826    826  33650      29.20       1189.4       844.6
  827    827  33651       0.27        327.5       242.0
  828    828  33653       0.33        260.1       189.4
  829    829  33655      12.10       1807.2      1165.6
  830    830  33659       3.75       1484.3       818.9
  831    831  33660      13.38       1078.6       785.9
  832    832  33665      20.13       1505.4      1088.0
  833    833  33681       0.25       1783.5       443.5
  834    834  33691       0.02        685.5       355.4
  835    835  33696       5.81        996.8       716.1
  836    836  33697      19.70        449.5       254.4
  837    837  34026      10.30        473.3       253.8
  838    838  34027       5.91       4395.9       982.9
  839    839  34030      10.73       1400.5       969.0
  840    840  34032       3.25        316.5       211.8
  841    841  34033       4.65        643.6       470.8
  842    842  34054       6.98       2997.3      2148.5
  843    843  34057       0.11        234.2       171.8
  844    844  34087       2.35        459.8       292.8
  845    845  34091       9.53       2228.0      1199.4
  846    846  34092      23.07        667.0       423.4
  847    847  34339       0.06       3954.8      1919.6
  848    848  34341       0.58        320.6       235.5
  849    849  34353       0.17        441.8       311.4
  850    850  34379       0.01        411.6       293.6
  851    851  34383       0.16        416.1       290.0
  852    852  34386       0.47        254.2       182.9
  853    853  34405       0.16        744.5       540.8
  854    854  34407       0.79        249.1       174.5
  855    855  34418       0.02        434.3       311.9
  856    856  34433       0.01       1165.5       708.0
  857    857  34441       0.04       1173.3       848.5
  858    858  34443       0.03        314.8       230.6
  859    859  34445       2.70        651.7       472.9
  860    860  34700      45.08       2705.9      1921.6
  861    861  34704       4.93       3687.5       934.1
  862    862  34712       2.50       4003.9      2426.6
  863    863  34744       6.42        794.8       580.1
  864    864  34749       2.48       1350.8       723.4
  865    865  34751       0.70        295.3       214.0
  866    866  34756       0.54        393.6       289.5
  867    867  34758       4.75       4099.6      1655.8
  868    868  34759      38.38       2587.7      1818.5
  869    869  34771       0.58        557.1       398.5
  870    870  34774       1.25        853.6       536.7
  871    871  34777       1.92       1439.1       692.5
  872    872  34779       0.19        377.2       275.1
  873    873  34780       4.74        984.2       684.4
  874    874  34783      11.10       1404.1       975.0
  875    875  34786      17.57        808.8       564.6
  876    876  34791       2.55       1286.1       716.9
  877    877  34794       0.72        472.9       325.4
  878    878  34795      25.64       1327.6       962.8
  879    879  34796       7.38        966.5       697.4
  880    880  34799      21.59       1231.2       894.5
  881    881  34800       0.62         42.2        16.5
  882    882  34803       0.19         65.6        32.4
  883    883  34805       1.25        295.0       208.8
  884    884  34809       0.09        540.0       393.7
  885    885  35005       0.84        946.0       531.9
  886    886  35027       0.02       1961.0      1360.5
  887    887  35075       9.31        574.9       339.8
  888    888  35078       1.03        412.9       303.9
  889    889  35084      12.78       2013.7      1444.8
  890    890  35085       1.42        383.9       280.2
  891    891  35086      28.73        829.3       541.9
  892    892  35088       0.05        171.8       122.0
  893    893  35097      40.21        840.4       514.3
  894    894  35098       0.15        250.9       184.6
  895    895  35118      11.33       3692.1      2059.4
  896    896  35124      14.81       2758.4      1867.2
  897    897  35127      49.86       3146.6      2194.9
  898    898  35151       2.61       1279.8       913.7
  899    899  35152       0.79       1977.1       554.2
  900    900  35155       0.11        105.0        64.1
  901    901  35189       0.16        109.2        43.8
  902    902  35190       0.13        358.4       261.6
  903    903  35458      14.30       1820.1      1208.9
  904    904  35509      17.30       6612.5      3974.5
  905    905  35510      14.84       8572.8      1402.4
  906    906  35511       0.43        435.8       316.1
  907    907  35512      11.85        718.8       510.2
  908    908  35514       1.03        143.1        83.4
  909    909  35516       3.58       1469.9       807.5
  910    910  35518      29.20       1053.1       731.1
  911    911  35536       1.03        238.9       163.3
  912    912  35538       1.92       1116.9       645.1
  913    913  35799       1.87       2319.9      1237.3
  914    914  35800       0.79       1267.0       562.3
  915    915  35816       0.04       1239.5       748.5
  916    916  35826       1.98        856.6       568.0
  917    917  35844       0.04       1162.4       839.7
  918    918  35864       6.26        162.1        51.7
  919    919  35865       5.41        455.0       317.0
  920    920  35875      23.71       7943.4      3023.1
  921    921  35879      11.35        826.6       598.7
  922    922  35887      13.91       1711.8      1156.4
  923    923  35898       0.30        811.2       446.0
  924    924  35899       2.33        100.2        43.9
  925    925  35900       6.01        669.5       488.4
  926    926  35902       7.82        990.5       714.7
  927    927  36171       2.40       1342.0       938.9
  928    928  36174       3.01        404.7       287.8
  929    929  36182       0.02       2265.0      1502.8
  930    930  36183      16.19       1245.8       905.7
  931    931  36184       0.27        547.5       367.5
  932    932  36185       0.54        969.5       503.3
  933    933  36211       0.05         83.0        48.4
  934    934  36214       0.45        364.5       238.1
  935    935  36218       0.04        486.6       316.7
  936    936  36224       0.09         62.6        20.5
  937    937  36225      10.73       1480.3      1007.6
  938    938  36228       0.04        212.7       156.5
  939    939  36232       7.12       5039.9      1882.7
  940    940  36234       0.43        181.3       121.6
  941    941  36235       8.49        955.7       694.5
  942    942  36237      28.10       1739.0      1260.3
  943    943  36239       0.04        228.9       169.3
  944    944  36291       2.12       1433.1       708.5
  945    945  36295       2.61       5554.8      1354.7
  946    946  36517       4.75       9342.8      3136.5
  947    947  36530       1.03        620.7       433.0
  948    948  36534       5.91       1347.7       862.8
  949    949  36536       0.05        742.7       377.8
  950    950  36575       0.47        355.5       262.3
  951    951  36579      26.86       3900.6      2048.6
  952    952  36581       0.40        260.0       188.4
  953    953  36599       0.07       1573.1       828.6
  954    954  36600       0.02       1106.7       367.6
  955    955  36616       0.05        492.0       321.1
  956    956  36629       0.50         51.5        21.5
  957    957  36630      20.86        772.7       522.3
  958    958  36634       0.40        516.0       359.8
  959    959  36636       0.27        482.0       342.1
  960    960  36638       1.30        928.0       561.9
 ------------------------------------------------------------
 Cell number ...............................     1
 Area (ha)..................................  285.000
 Soil density (-)...........................    2.650
 Sedimentation velocity (m/s)...............    0.100
 Drainage length w0 (m).....................  6265.00
 Slope length L0 (m)........................   227.45
 Soil erodibility (ton.h/MJ/mm).............    0.032
 Land-use factor CP (-).....................   0.0116
 Average slope S0 (-) ......................   0.0660
 Slope factor S (-).........................    0.741
 Slope length factor L (-)..................    2.851
 Vegetation parameter Kv ...................   28.527
 Number of rainfall station ................     1
 -----------------------------------------------------------------
  Total gross erosion (kg) in this cell ....0.1600E+09
  Total sediment yield (kg) ................0.1241E+09
  Global sediment delivery ratio ...........0.776
 -----------------------------------------------------------------
  Watershed gross erosion (kg) .............0.1600E+09
  Watershed sediment yield (kg) ............0.1241E+09
  Watershed average delivery ratio .........0.776

  Program concluded successfully.
