  SEDIMENT-YIELD ESTIMATION - SYPOME3

  * Version 3
  * SY equation based on the principle of maximum entropy
  * Program can only compute up to 1500 events
                        
  Universidade Federal do Ceara
  University of Birmingham
  Jose Carlos de Araujo, 2004
  Technische Unibversitat Berlin
  Pedro Alencar, 2019

 --------------------------------------------------------------
 Title: Canabrava           
 --------------------------------------------------------------
 Input file .....................................               defaut
 Output file ....................................               defaut
 Number of precipitation gauges .................    1
 Number of cells ................................    1
 Number of events ...............................  960
 ------------------------------------------------------------
 Precipitation gauge number .....................    1
 ------------------------------------------------------------
    i     id    date      D(mm)     Dur(min)    R(MJ.mm/ha/h)      
  139    139  18044       1.30        301.0       213.2
  140    140  18221       0.12       1557.2       845.0
  141    141  18223       0.19       1146.5       447.1
  142    142  18281       1.98       1310.2       683.7
  143    143  18324       4.01       1839.1       879.4
  144    144  18325       0.70        472.0       342.5
  145    145  18326       1.98       1341.1       687.7
  146    146  18331       0.91        274.8       155.8
  147    147  18332       0.22        565.6       370.3
  148    148  18333       0.96         60.1        24.5
  149    149  18336       1.92        623.7       449.3
  150    150  18337       5.56         98.2        35.2
  151    151  18348       0.22        335.4       247.6
  152    152  18349       6.21        749.7       548.0
  153    153  18350      15.44       3628.5      1586.8
  154    154  18352       5.56        430.9       295.5
  155    155  18353       1.98       1009.6       621.2
  156    156  18354       2.09       1161.4       664.7
  157    157  18355       5.51       1749.9       950.3
  158    158  18356      15.24        369.9       204.4
  159    159  18357      21.30       4307.8      1877.4
  160    160  18358       1.98        633.0       455.7
  161    161  18359      13.45       1597.7      1097.4
  162    162  18360       0.73        285.7       205.9
  163    163  18361       2.62       1104.2       677.4
  164    164  18365       5.26       2867.0       989.8
  165    165  18366       7.49        500.1       344.8
  166    166  18367       0.75        192.2       126.7
  167    167  18368       1.01        323.2       234.3
  168    168  18369      10.13       2433.1      1253.4
  169    169  18372       9.18       1367.9       933.9
  170    170  18373      28.26       2926.8      1854.9
  171    171  18374       0.17        930.7       433.8
  172    172  18378       0.03        480.8       312.0
  173    173  18391       0.16        187.8       132.2
  174    174  18658       2.66       1108.5       680.3
  175    175  18659       7.49        704.2       512.2
  176    176  18660       1.42        219.1       142.8
  177    177  18663       1.60        192.7       118.9
  178    178  18664       3.93       1955.8       881.4
  179    179  18665       1.95       1792.4       710.7
  180    180  18721       2.78       1332.6       738.5
  181    181  18723       1.39       1160.6       616.0
  182    182  18724       3.33       1597.6       811.6
  183    183  18727       9.30       1335.5       919.9
  184    184  18729       2.78        753.3       534.8
  185    185  18730       5.51       1292.2       832.7
  186    186  18735      15.64       4687.5      1603.3
  187    187  18736       1.98        124.2        62.4
  188    188  18740      27.71       2829.0      1811.4
  189    189  18741       2.51        414.0       298.7
  190    190  18743      34.94       1788.9      1301.1
  191    191  18747       5.51        501.1       355.1
  192    192  18765       0.03       1548.8       800.5
  193    193  19002       1.95        847.2       563.1
  194    194  19005       0.04        351.2       253.3
  195    195  19006       2.85        406.5       290.5
  196    196  19034      18.59       3087.3      2077.1
  197    197  19035      14.77        813.3       578.5
  198    198  19037       2.05        816.1       552.7
  199    199  19039       2.85       1509.9       770.1
  200    200  19042       0.17        600.2       377.0
  201    201  19070       0.24        487.2       347.4
  202    202  19072       6.84       2497.2      1094.0
  203    203  19073       0.79        148.6        89.9
  204    204  19075       0.48       1548.6       510.9
  205    205  19087      10.25        232.1       112.7
  206    206  19114       0.08        823.2       584.9
  207    207  19344       1.07       5788.8      2424.1
  208    208  19416       0.04       1328.8       770.7
  209    209  19417       1.98        482.1       353.9
  210    210  19418      18.70       2298.8      1466.8
  211    211  19419       1.92       1015.8       619.7
  212    212  19427       1.43       2824.0      1227.7
  213    213  19430       8.38        927.7       675.2
  214    214  19432       1.92       1356.9       684.4
  215    215  19433       1.30        538.9       391.1
  216    216  19434       6.21        884.2       639.9
  217    217  19436       0.01         90.4        55.9
  218    218  19690       0.73       3436.3      2058.3
  219    219  19692       6.21        494.1       345.9
  220    220  19744       0.10       2331.6      1559.1
  221    221  19745       8.95       2300.6      1185.7
  222    222  19748       5.31       1121.8       759.5
  223    223  19771       5.31       1662.0       925.8
  224    224  19772      51.16       2465.2      1786.9
